gpt-3.5-turbo-0125-P1	4	4	5	4	3	3	4	4	4	4	4	4	4	4	3	4	4	3											
gpt-3.5-turbo-0125-P2	4	4	4	4	3	4	3	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4					
gpt-3.5-turbo-0125-P3	3	5	3	4	4	4	4	4	4	4	3	4	4	3	4	4	2	3	3	2	4	4	2	3	1	4	3		
gpt-3.5-turbo-0125-P5	4	4	4	4	4	4	4	4	4	4	3	4	4	3	4	4	4	4	4	4	4	4	4	4	4				
gpt-3.5-turbo-0125-P6	4	4	4	4	3	4	4	4	4	4	4	4	1	2	3	3	3	3	3	4	3	3	3	4	4	3			
gpt-3.5-turbo-0125-P7	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	5	4	4	3	4	4	4	3	1		
gpt-3.5-turbo-0125-P9	3	4	4	4	3	4	4	3	4	3	2	3	4	4	3	4	3	4	4	4	2	4	4	4	4	4			
gpt-3.5-turbo-0125-P10	4	4	4	4	4	5	4	3	4	4	3	4	4	3	3	3	4	3	4	4	4								
gpt-3.5-turbo-0125-P11	4	4	4	4	4	4	4	4	4	5	5	4	4	3	4	4	3	3	4	4	4	4	4	4	4	4	4		
gpt-3.5-turbo-0125-P13	3	4	4	4	4	4	4	4	4	4	4	4	5	5	2	3	3	3	3	3	3	4	5	4	1	2			
gpt-3.5-turbo-0125-P15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	2	4	3	4	4	4	4	3			
gpt-3.5-turbo-0125-P16	4	4	4	4	3	4	4	4	4	4	4	4	4	3	4	3	4	4	4	4	4	2							
gpt-3.5-turbo-0125-P17	4	4	4	4	2	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4									
gpt-3.5-turbo-0125-P18	4	3	4	4	2	4	4	4	4	3	3	4	3	2	3	4	3	4	4	3	4	4							
gpt-3.5-turbo-0125-P19	3	2	3	3	3	4	3	4	4	4	4	4	4	4	4	3	3	4	4	3	3	4	3						
gpt-3.5-turbo-0125-P21	3	4	4	4	3	4	4	5	4	4	4	4																	
gpt-3.5-turbo-0125-P22	4	3	4	1	3	4	3	3	2	4	3	4	4	4	4	4	3	3	4	2	3	4	4	4	3				
gpt-3.5-turbo-0125-P23	4	4	4	4	4	4	4	3	4	4	5	4	5	4	4	4	2	5	5	4	5	4							
gpt-3.5-turbo-0125-P25	3	4	4	4	4	4	3	4	4	4	3	4	4	4	4	4	4	5	4	4	5	5	5	4	4	4	4		
gpt-3.5-turbo-0125-P27	3	4	4	4	4	4	3	4	4	4	4	4	3	3	3	4	4	4	4	4	4	4	4	4	4	3	4	4	4
gpt-3.5-turbo-0125-P28	4	4	4	4	4	4	3	4	4	4	4	3	4	4															
gpt-3.5-turbo-0125-P29	4	4	4	5	4	3	4	4	5	4	3	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	4		
gpt-3.5-turbo-0125-P30	4	4	4	4	4	4	4	4	4	2	3	4	4	4	3	4	4	5	3	4	4	4	3	3	2	3			
gpt-3.5-turbo-0125-P31	3	4	4	3	3	4	2	3	4	4	3	4	4	4	4	3	4	4	3	4	4	3	4	4					
gpt-3.5-turbo-0125-P32	4	3	4	4	4	4	4	3	3	4	3	4	4	4	4	4	3	4	4	4	4	4	4	4					
